date,interest,isPartial
2005-05-21,0.0,False
2005-05-22,16.8,False
2005-05-23,12.299999999999999,False
2005-05-24,22.5,False
2005-05-25,19.2,False
2005-05-26,15.899999999999999,False
2005-05-27,24.3,False
2005-05-28,14.399999999999999,False
2005-05-29,7.199999999999999,False
2005-05-30,7.199999999999999,False
2005-05-31,22.5,False
2005-06-01,5.12,False
2005-06-02,31.68,False
2005-06-03,5.76,False
2005-06-04,16.32,False
2005-06-05,32.0,False
2005-06-06,15.040000000000001,False
2005-06-07,4.8,False
2005-06-08,9.92,False
2005-06-09,26.560000000000002,False
2005-06-10,16.64,False
2005-06-11,8.32,False
2005-06-12,8.0,False
2005-06-13,10.24,False
2005-06-14,20.16,False
2005-06-15,20.48,False
2005-06-16,31.36,False
2005-06-17,5.76,False
2005-06-18,8.64,False
2005-06-19,8.96,False
2005-06-20,20.8,False
2005-06-21,5.12,False
2005-06-22,10.56,False
2005-06-23,5.44,False
2005-06-24,17.92,False
2005-06-25,8.64,False
2005-06-26,17.28,False
2005-06-27,25.28,False
2005-06-28,15.68,False
2005-06-29,15.68,False
2005-06-30,16.32,False
2005-07-01,14.620000000000001,False
2005-07-02,7.140000000000001,False
2005-07-03,14.620000000000001,False
2005-07-04,7.140000000000001,False
2005-07-05,21.42,False
2005-07-06,14.96,False
2005-07-07,17.0,False
2005-07-08,9.180000000000001,False
2005-07-09,17.34,False
2005-07-10,14.280000000000001,False
2005-07-11,17.0,False
2005-07-12,34.0,False
2005-07-13,19.720000000000002,False
2005-07-14,20.060000000000002,False
2005-07-15,23.8,False
2005-07-16,10.540000000000001,False
2005-07-17,10.540000000000001,False
2005-07-18,8.5,False
2005-07-19,14.620000000000001,False
2005-07-20,19.040000000000003,False
2005-07-21,26.180000000000003,False
2005-07-22,9.520000000000001,False
2005-07-23,17.34,False
2005-07-24,0.0,False
2005-07-25,14.620000000000001,False
2005-07-26,18.700000000000003,False
2005-07-27,14.96,False
2005-07-28,13.260000000000002,False
2005-07-29,11.9,False
2005-07-30,0.0,False
2005-07-31,27.540000000000003,False
2005-08-01,15.98,False
2005-08-02,12.24,False
2005-08-03,17.68,False
2005-08-04,18.02,False
2005-08-05,15.3,False
2005-08-06,5.78,False
2005-08-07,13.940000000000001,False
2005-08-08,20.740000000000002,False
2005-08-09,11.9,False
2005-08-10,17.68,False
2005-08-11,10.88,False
2005-08-12,15.3,False
2005-08-13,11.22,False
2005-08-14,19.380000000000003,False
2005-08-15,25.840000000000003,False
2005-08-16,13.940000000000001,False
2005-08-17,13.940000000000001,False
2005-08-18,14.280000000000001,False
2005-08-19,9.520000000000001,False
2005-08-20,10.88,False
2005-08-21,5.44,False
2005-08-22,12.920000000000002,False
2005-08-23,19.380000000000003,False
2005-08-24,34.0,False
2005-08-25,8.16,False
2005-08-26,23.46,False
2005-08-27,10.540000000000001,False
2005-08-28,12.920000000000002,False
2005-08-29,14.96,False
2005-08-30,17.68,False
2005-08-31,11.22,False
2005-09-01,22.63,False
2005-09-02,0.0,False
2005-09-03,0.0,False
2005-09-04,11.78,False
2005-09-05,8.06,False
2005-09-06,10.85,False
2005-09-07,18.29,False
2005-09-08,14.879999999999999,False
2005-09-09,15.81,False
2005-09-10,16.74,False
2005-09-11,16.12,False
2005-09-12,3.41,False
2005-09-13,6.82,False
2005-09-14,10.54,False
2005-09-15,14.26,False
2005-09-16,31.0,False
2005-09-17,22.32,False
2005-09-18,10.85,False
2005-09-19,21.08,False
2005-09-20,23.87,False
2005-09-21,10.23,False
2005-09-22,3.7199999999999998,False
2005-09-23,19.22,False
2005-09-24,5.58,False
2005-09-25,16.12,False
2005-09-26,13.64,False
2005-09-27,13.64,False
2005-09-28,6.82,False
2005-09-29,24.49,False
2005-09-30,11.47,False
2005-10-01,7.13,False
2005-10-02,20.46,False
2005-10-03,17.98,False
2005-10-04,13.33,False
2005-10-05,31.0,False
2005-10-06,13.33,False
2005-10-07,12.09,False
2005-10-08,6.82,False
2005-10-09,10.23,False
2005-10-10,26.97,False
2005-10-11,19.22,False
2005-10-12,22.01,False
2005-10-13,28.83,False
2005-10-14,7.13,False
2005-10-15,13.64,False
2005-10-16,19.53,False
2005-10-17,25.419999999999998,False
2005-10-18,16.74,False
2005-10-19,19.22,False
2005-10-20,10.85,False
2005-10-21,25.419999999999998,False
2005-10-22,16.43,False
2005-10-23,19.22,False
2005-10-24,12.709999999999999,False
2005-10-25,12.4,False
2005-10-26,21.39,False
2005-10-27,23.87,False
2005-10-28,25.73,False
2005-10-29,6.82,False
2005-10-30,6.51,False
2005-10-31,24.18,False
2005-11-01,11.1,False
2005-11-02,8.1,False
2005-11-03,11.7,False
2005-11-04,11.1,False
2005-11-05,10.5,False
2005-11-06,8.4,False
2005-11-07,7.5,False
2005-11-08,10.799999999999999,False
2005-11-09,30.0,False
2005-11-10,11.7,False
2005-11-11,9.9,False
2005-11-12,8.7,False
2005-11-13,8.4,False
2005-11-14,8.7,False
2005-11-15,14.1,False
2005-11-16,14.1,False
2005-11-17,15.6,False
2005-11-18,6.0,False
2005-11-19,8.4,False
2005-11-20,4.8,False
2005-11-21,12.0,False
2005-11-22,15.0,False
2005-11-23,10.2,False
2005-11-24,9.0,False
2005-11-25,5.1,False
2005-11-26,13.5,False
2005-11-27,3.3,False
2005-11-28,10.5,False
2005-11-29,5.1,False
2005-11-30,17.099999999999998,False
2005-12-01,23.1,False
2005-12-02,22.77,False
2005-12-03,19.8,False
2005-12-04,16.5,False
