"Residential Dwelling Property Transactions by Type of Sale, Type of"
"Buyer, Stamp Duty Event, Dwelling Status, County, statistical indicator"
"and Year"

" "," "," "," "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"All Sale Types"
" ","All Buyer Types"
" "," ","Filings"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Mean Sale Price (Euro)",110748,93370,68242,72200,69160,74571,75482,93654,105669
" "," "," "," "," ","Median Price (Euro)",110000,80000,55000,60000,56000,55615,60000,77000,90000
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",420,382,487,513,771,793,843,832,977
" "," "," "," "," ","Value of Sales (Euro Million)",58.6,34.9,41.6,47.2,78.1,82.6,84.1,99.7,123.1
" "," "," "," "," ","Mean Sale Price (Euro)",139420,91287,85456,92094,101237,104224,99742,119784,125999
" "," "," "," "," ","Median Price (Euro)",124500,75500,69999,70000,80000,85000,80000,94500,97000
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",814,804,839,830,1066,1445,1499,1659,1776
" "," "," "," "," ","Value of Sales (Euro Million)",102.5,93.3,73.3,75.3,106.7,147.8,159.3,191.7,216.7
" "," "," "," "," ","Mean Sale Price (Euro)",125863,116053,87407,90704,100088,102299,106267,115536,122006
" "," "," "," "," ","Median Price (Euro)",126500,107500,65500,72000,74250,82241,90000,100000,110000
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",650,725,759,850,1157,1435,1595,1554,1657
" "," "," "," "," ","Value of Sales (Euro Million)",100.4,85.1,74.3,83.1,126.1,162.9,204.9,214.9,257.8
" "," "," "," "," ","Mean Sale Price (Euro)",154448,117394,97884,97804,108968,113553,128442,138320,155602
" "," "," "," "," ","Median Price (Euro)",147625,95000,79450,76523,82500,92000,110000,120000,140000
" "," "," "," ","Westmeath"
" "," "," "," "," ","Volume of Sales  (Number)",524,506,572,600,945,1133,1100,1248,1106
" "," "," "," "," ","Value of Sales (Euro Million)",69.1,53.9,48.7,57.8,91.6,113.2,125.6,153.4,170.9
" "," "," "," "," ","Mean Sale Price (Euro)",131907,106483,85187,96312,96941,99922,114218,122932,154523
" "," "," "," "," ","Median Price (Euro)",135000,98844,74625,80000,85500,87500,100000,115000,152000
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",919,902,1125,1100,1563,1875,1769,1955,1911
" "," "," "," "," ","Value of Sales (Euro Million)",137.3,101.8,118.5,109.6,175.7,216.9,231.3,283.1,305.4
" "," "," "," "," ","Mean Sale Price (Euro)",149347,112901,105333,99661,112407,115697,130737,144808,159792
" "," "," "," "," ","Median Price (Euro)",150000,102250,93500,85125,100000,105000,125000,145000,155000
" "," "," "," ","Wicklow"
" "," "," "," "," ","Volume of Sales  (Number)",866,891,993,1122,1440,1561,1550,1816,1744
" "," "," "," "," ","Value of Sales (Euro Million)",219.4,155.6,177.3,223.9,339.1,394.5,443.5,542.7,541.6
" "," "," "," "," ","Mean Sale Price (Euro)",253294,174672,178593,199548,235491,252721,286152,298825,310545
" "," "," "," "," ","Median Price (Euro)",240000,158000,150000,165000,199500,225000,260000,275000,285794
" "," "," ","New"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",7262,4513,4044,4178,6014,7356,7237,10279,11420
" "," "," "," "," ","Value of Sales (Euro Million)",1656.9,904.9,749.9,719.4,1129.9,1605.5,1990.5,3189.7,3958.7
" "," "," "," "," ","Mean Sale Price (Euro)",228167,200506,185432,172185,187873,218253,275048,310311,346648
" "," "," "," "," ","Median Price (Euro)",214515,180125,165278,141875,148000,166995,249700,286898,320000
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",79,119,47,63,77,98,64,49,74
" "," "," "," "," ","Value of Sales (Euro Million)",14.7,19.3,5.6,8.2,10.2,15.4,9.9,9.6,14.3
" "," "," "," "," ","Mean Sale Price (Euro)",186371,161991,120043,130105,132952,157011,154439,196326,193822
" "," "," "," "," ","Median Price (Euro)",176720,159000,96475,113500,136200,144958,164425,200500,206663
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",217,120,83,118,155,160,101,97,105
" "," "," "," "," ","Value of Sales (Euro Million)",39.1,18.7,12.5,10.8,12.9,14.4,11.2,10.0,13.7
" "," "," "," "," ","Mean Sale Price (Euro)",180276,155435,150614,91405,83465,89809,110773,102914,130737
" "," "," "," "," ","Median Price (Euro)",170250,147499,140000,71535,70540,82726,99313,95000,136648
" "," "," "," ","Clare"
