"Residential Dwelling Property Transactions by Type of Sale, Type of"
"Buyer, Stamp Duty Event, Dwelling Status, County, statistical indicator"
"and Year"

" "," "," "," "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"All Sale Types"
" ","All Buyer Types"
" "," ","Filings"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",105,110,169,232,319,387,415,433,562
" "," "," "," "," ","Value of Sales (Euro Million)",19.9,15.3,18.8,26.9,34.4,47.6,59.0,63.9,88.0
" "," "," "," "," ","Mean Sale Price (Euro)",189843,138825,111368,115801,107690,123101,142219,147598,156649
" "," "," "," "," ","Median Price (Euro)",176500,122500,100000,95500,99000,120000,135000,135000,150000
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",101,148,202,287,515,576,572,651,647
" "," "," "," "," ","Value of Sales (Euro Million)",13.6,19.3,21.5,28.0,46.4,59.0,64.4,83.4,91.2
" "," "," "," "," ","Mean Sale Price (Euro)",134487,130547,106515,97612,90014,102383,112553,128169,140889
" "," "," "," "," ","Median Price (Euro)",127500,115000,90000,85000,72000,82000,95000,118000,130000
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",330,321,451,514,853,1014,1131,1012,967
" "," "," "," "," ","Value of Sales (Euro Million)",58.6,52.5,60.1,63.3,97.9,120.6,171.0,178.6,169.6
" "," "," "," "," ","Mean Sale Price (Euro)",177714,163427,133355,123200,114756,118933,151234,176458,175417
" "," "," "," "," ","Median Price (Euro)",165000,145000,117500,100000,93000,100000,145000,141000,162500
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",1461,1493,2105,2505,3823,4293,4315,4675,4610
" "," "," "," "," ","Value of Sales (Euro Million)",342.7,307.6,371.4,423.5,669.2,818.6,896.0,1021.5,1115.1
" "," "," "," "," ","Mean Sale Price (Euro)",234571,206001,176438,169081,175033,190690,207658,218502,241897
" "," "," "," "," ","Median Price (Euro)",215000,185000,156000,150000,147500,164285,180000,200000,210000
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",335,342,476,552,866,1168,1175,1041,1182
" "," "," "," "," ","Value of Sales (Euro Million)",51.1,44.8,54.3,54.7,85.4,130.6,127.2,124.4,138.7
" "," "," "," "," ","Mean Sale Price (Euro)",152496,131076,114053,99012,98562,111784,108255,119494,117330
" "," "," "," "," ","Median Price (Euro)",133000,115000,98250,85000,83000,95000,92000,109000,106625
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",5210,4706,7263,8565,12465,12445,12672,13400,13698
" "," "," "," "," ","Value of Sales (Euro Million)",1817.1,1526.6,2127.4,2713.3,4167.1,4387.0,4875.8,5522.6,5809.1
" "," "," "," "," ","Mean Sale Price (Euro)",348769,324385,292905,316789,334304,352508,384772,412133,424080
" "," "," "," "," ","Median Price (Euro)",285000,250000,220000,233000,256000,275000,295000,320000,334000
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",574,626,863,1214,1918,2357,2024,2137,2098
" "," "," "," "," ","Value of Sales (Euro Million)",136.6,122.5,150.4,200.7,313.0,392.8,373.7,442.9,486.9
" "," "," "," "," ","Mean Sale Price (Euro)",238010,195650,174320,165335,163167,166670,184621,207267,232077
" "," "," "," "," ","Median Price (Euro)",222750,170000,155000,141750,140000,142000,162000,188000,210000
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",377,386,534,625,957,1118,1197,1332,1338
" "," "," "," "," ","Value of Sales (Euro Million)",73.2,64.1,81.0,81.8,125.0,153.8,178.2,205.9,217.8
" "," "," "," "," ","Mean Sale Price (Euro)",194289,166008,151684,130940,130610,137597,148834,154581,162755
" "," "," "," "," ","Median Price (Euro)",180000,152250,133250,115000,110000,117000,125000,139500,150000
" "," "," "," ","Kildare"
" "," "," "," "," ","Volume of Sales  (Number)",574,562,819,956,1423,1699,1677,1934,1897
" "," "," "," "," ","Value of Sales (Euro Million)",151.2,128.7,152.9,187.7,309.9,413.0,403.1,489.5,516.4
" "," "," "," "," ","Mean Sale Price (Euro)",263337,229033,186634,196298,217747,243077,240378,253112,272246
" "," "," "," "," ","Median Price (Euro)",247500,200000,170000,175000,199000,217000,227000,235000,250000
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",231,252,322,339,516,641,613,658,715
" "," "," "," "," ","Value of Sales (Euro Million)",43.3,42.9,45.4,47.7,76.7,103.9,109.5,119.2,143.3
" "," "," "," "," ","Mean Sale Price (Euro)",187503,170222,141108,140597,148628,162101,178691,181193,200418
" "," "," "," "," ","Median Price (Euro)",168000,145000,125000,122500,123000,136000,160000,165000,181000
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",193,192,253,287,492,528,593,631,635
" "," "," "," "," ","Value of Sales (Euro Million)",31.1,25.7,26.0,30.3,53.3,67.6,79.3,97.2,104.4
" "," "," "," "," ","Mean Sale Price (Euro)",161195,134055,102838,105470,108403,128008,133702,154011,164397
" "," "," "," "," ","Median Price (Euro)",140000,122500,86000,82000,90000,110000,126000,140000,154000
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",62,96,113,202,254,339,353,373,386
" "," "," "," "," ","Value of Sales (Euro Million)",8.0,10.6,11.8,16.7,20.4,31.1,32.0,39.0,44.3
" "," "," "," "," ","Mean Sale Price (Euro)",129318,110552,104000,82575,80406,91680,90649,104651,114726
" "," "," "," "," ","Median Price (Euro)",130000,104750,90000,67500,64500,75000,77000,88106,100000
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",483,524,622,710,1366,1663,1578,1665,1791
" "," "," "," "," ","Value of Sales (Euro Million)",95.1,92.8,96.4,102.3,164.9,236.3,229.5,268.1,326.7
" "," "," "," "," ","Mean Sale Price (Euro)",196798,177006,154916,144083,120713,142094,145446,161021,182414
" "," "," "," "," ","Median Price (Euro)",180000,167000,145000,125000,97500,120000,126000,140000,162000
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",69,73,113,158,302,331,355,339,393
" "," "," "," "," ","Value of Sales (Euro Million)",9.1,8.2,9.9,12.2,22.0,26.0,31.2,32.9,41.5
" "," "," "," "," ","Mean Sale Price (Euro)",131703,112116,87282,77263,72994,78645,87942,97109,105508
" "," "," "," "," ","Median Price (Euro)",125000,90000,70000,64375,55000,65000,75000,85000,95000
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",322,342,458,593,919,1018,1029,1018,1046
" "," "," "," "," ","Value of Sales (Euro Million)",57.0,53.8,61.1,77.6,120.7,150.1,167.9,185.7,206.2
" "," "," "," "," ","Mean Sale Price (Euro)",176912,157326,133496,130880,131317,147401,163174,182442,197092
" "," "," "," "," ","Median Price (Euro)",157250,140000,113000,110000,111000,133000,145000,165000,183000
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",264,273,376,412,788,1054,977,1017,1011
" "," "," "," "," ","Value of Sales (Euro Million)",43.5,41.5,45.9,50.9,84.5,124.0,116.0,135.2,138.0
" "," "," "," "," ","Mean Sale Price (Euro)",164794,151969,122018,123574,107280,117648,118723,132941,136503
" "," "," "," "," ","Median Price (Euro)",152500,132500,111457,105500,88000,100000,100000,120000,125000
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",517,431,604,769,1313,1283,1223,1430,1472
" "," "," "," "," ","Value of Sales (Euro Million)",125.2,88.8,105.3,126.5,244.8,263.8,270.8,339.5,373.0
" "," "," "," "," ","Mean Sale Price (Euro)",242106,206087,174266,164548,186472,205629,221391,237396,253415
" "," "," "," "," ","Median Price (Euro)",220000,185000,145000,140000,160000,184000,200000,215000,235000
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",77,62,99,137,221,260,302,321,333
" "," "," "," "," ","Value of Sales (Euro Million)",11.7,7.2,11.8,14.4,22.5,31.0,37.4,43.2,49.4
" "," "," "," "," ","Mean Sale Price (Euro)",151844,115785,118715,105147,101750,119067,123767,134511,148279
" "," "," "," "," ","Median Price (Euro)",144000,104500,100000,81000,80500,106500,113500,130000,137000
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",147,127,218,244,412,488,539,546,548
" "," "," "," "," ","Value of Sales (Euro Million)",24.7,16.9,27.5,26.6,50.0,56.2,63.5,78.3,85.8
" "," "," "," "," ","Mean Sale Price (Euro)",167880,133170,125963,108893,121287,115191,117775,143384,156533
" "," "," "," "," ","Median Price (Euro)",155000,120000,108750,91250,102000,100005,105000,130000,150500
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",138,148,243,328,410,506,532,586,657
" "," "," "," "," ","Value of Sales (Euro Million)",19.0,16.5,21.8,28.0,33.2,47.0,50.2,64.6,81.3
" "," "," "," "," ","Mean Sale Price (Euro)",137680,111474,89698,85329,80990,92831,94434,110268,123765
" "," "," "," "," ","Median Price (Euro)",128500,96250,79000,70000,67400,75000,78250,90000,100000
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",163,152,270,293,560,528,586,621,728
" "," "," "," "," ","Value of Sales (Euro Million)",30.0,20.8,30.6,34.3,64.0,66.8,68.4,87.3,98.7
" "," "," "," "," ","Mean Sale Price (Euro)",184112,136719,113285,117219,114265,126604,116711,140643,135550
" "," "," "," "," ","Median Price (Euro)",155000,125000,90000,94000,90500,100000,90000,117000,107000
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",316,300,420,582,759,1022,1094,1226,1263
" "," "," "," "," ","Value of Sales (Euro Million)",51.0,47.9,51.0,65.8,87.9,123.1,139.1,162.1,183.9
" "," "," "," "," ","Mean Sale Price (Euro)",161349,159808,121526,112977,115865,120492,127162,132233,145575
" "," "," "," "," ","Median Price (Euro)",150500,130000,101170,92500,95000,105000,110000,120500,136000
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",307,376,461,610,943,1126,1268,1138,1192
" "," "," "," "," ","Value of Sales (Euro Million)",56.6,56.8,57.8,71.2,116.8,142.0,175.2,173.8,203.0
" "," "," "," "," ","Mean Sale Price (Euro)",184370,150979,125428,116796,123878,126078,138182,152734,170330
" "," "," "," "," ","Median Price (Euro)",170000,135000,108000,92500,100000,105000,118000,127000,145000
" "," "," "," ","Westmeath"
" "," "," "," "," ","Volume of Sales  (Number)",223,212,290,407,759,837,878,976,904
" "," "," "," "," ","Value of Sales (Euro Million)",37.9,32.3,33.5,45.0,80.0,96.9,113.7,133.1,155.4
" "," "," "," "," ","Mean Sale Price (Euro)",170112,152551,115510,110605,105366,115788,129525,136405,171937
" "," "," "," "," ","Median Price (Euro)",152500,131000,105000,87000,90700,105000,116000,125000,160000
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",453,455,741,797,1219,1317,1335,1466,1481
" "," "," "," "," ","Value of Sales (Euro Million)",80.8,64.9,94.3,94.8,150.2,179.0,195.4,235.6,256.5
" "," "," "," "," ","Mean Sale Price (Euro)",178303,142631,127247,118939,123221,135945,146350,160694,173207
" "," "," "," "," ","Median Price (Euro)",160000,125000,110000,100000,110000,120000,135000,152000,161500
" "," "," "," ","Wicklow"
" "," "," "," "," ","Volume of Sales  (Number)",424,410,594,772,1087,1099,1093,1172,1088
" "," "," "," "," ","Value of Sales (Euro Million)",134.2,108.1,147.9,197.9,293.8,319.3,344.1,384.1,365.2
" "," "," "," "," ","Mean Sale Price (Euro)",316417,263537,249057,256337,270293,290532,314831,327697,335630
" "," "," "," "," ","Median Price (Euro)",275000,220000,198750,190000,229956,245000,265000,295000,300000
" ","Household Buyer - All"
" "," ","Filings"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",19302,16811,20680,24568,34417,40438,40150,43354,44499
" "," "," "," "," ","Value of Sales (Euro Million)",5015.6,3847.0,4249.3,5095.9,7456.9,9093.2,9933.7,11792.7,12945.9
" "," "," "," "," ","Mean Sale Price (Euro)",259847,228837,205476,207418,216664,224868,247414,272009,290927
" "," "," "," "," ","Median Price (Euro)",225000,190000,163000,155000,160000,175000,196000,225000,248000
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",164,212,199,263,360,430,426,416,471
" "," "," "," "," ","Value of Sales (Euro Million)",31.9,34.1,22.9,31.8,41.6,57.1,61.9,64.9,84.0
" "," "," "," "," ","Mean Sale Price (Euro)",194223,161048,114996,121064,115548,132763,145318,156011,178275
" "," "," "," "," ","Median Price (Euro)",179000,148999,101500,107825,110000,125000,136000,145000,175000
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",312,261,269,376,536,636,595,655,645
" "," "," "," "," ","Value of Sales (Euro Million)",53.7,37.7,32.7,38.2,50.3,64.3,68.6,86.6,91.2
" "," "," "," "," ","Mean Sale Price (Euro)",172175,144419,121578,101600,93911,101138,115212,132259,141455
" "," "," "," "," ","Median Price (Euro)",155000,130000,105000,88500,79450,84000,97000,125000,135000
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",496,391,516,540,804,986,1018,1037,958
" "," "," "," "," ","Value of Sales (Euro Million)",92.4,67.0,73.5,68.0,96.0,126.5,148.6,165.2,171.2
" "," "," "," "," ","Mean Sale Price (Euro)",186297,171307,142508,125906,119383,128297,145928,159354,178681
" "," "," "," "," ","Median Price (Euro)",175000,150000,125000,108000,101000,111500,130000,148000,171000
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",2035,1970,2310,2624,3842,4618,4471,4791,4770
" "," "," "," "," ","Value of Sales (Euro Million)",509.1,424.2,427.0,461.9,682.9,905.8,965.8,1104.2,1225.9
" "," "," "," "," ","Mean Sale Price (Euro)",250194,215341,184847,176038,177747,196146,216017,230479,256995
" "," "," "," "," ","Median Price (Euro)",230000,195000,163000,155000,153225,170000,192950,210000,238000
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",557,496,557,615,895,1180,1184,1038,1099
" "," "," "," "," ","Value of Sales (Euro Million)",97.5,73.9,68.8,64.4,89.8,135.3,134.9,131.4,136.3
" "," "," "," "," ","Mean Sale Price (Euro)",175018,149089,123448,104667,100344,114689,113941,126569,124060
" "," "," "," "," ","Median Price (Euro)",160000,133182,110000,92000,85000,97000,99000,115000,118000
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",6564,5368,7242,8745,11078,12311,12818,14163,14630
" "," "," "," "," ","Value of Sales (Euro Million)",2248.5,1728.2,2134.4,2754.6,3894.7,4524.4,5093.2,6047.5,6528.1
" "," "," "," "," ","Mean Sale Price (Euro)",342550,321948,294726,314992,351570,367512,397349,426992,446215
" "," "," "," "," ","Median Price (Euro)",285000,260000,225000,240000,275000,299000,320000,349250,368000
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",856,808,946,1219,1852,2257,1961,2085,2083
" "," "," "," "," ","Value of Sales (Euro Million)",206.9,163.1,170.4,206.8,309.7,389.7,379.3,443.4,488.2
" "," "," "," "," ","Mean Sale Price (Euro)",241741,201811,180079,169655,167228,172680,193424,212661,234391
" "," "," "," "," ","Median Price (Euro)",224730,175000,157500,145000,145000,150000,175000,196000,217000
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",557,518,621,677,961,1241,1242,1238,1236
" "," "," "," "," ","Value of Sales (Euro Million)",116.9,93.6,100.7,89.9,131.8,171.4,185.6,203.0,219.5
" "," "," "," "," ","Mean Sale Price (Euro)",209865,180621,162118,132775,137126,138076,149444,164014,177595
" "," "," "," "," ","Median Price (Euro)",195800,170000,145000,120000,119999,117999,129000,148500,160000
" "," "," "," ","Kildare"
" "," "," "," "," ","Volume of Sales  (Number)",985,750,956,1134,1621,2029,1894,2236,2401
" "," "," "," "," ","Value of Sales (Euro Million)",256.6,176.3,190.6,233.4,378.2,506.7,505.4,625.9,729.7
" "," "," "," "," ","Mean Sale Price (Euro)",260527,235057,199387,205828,233307,249742,266858,279904,303900
" "," "," "," "," ","Median Price (Euro)",245000,208000,180000,185000,210000,235000,253000,270000,294999
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",325,326,383,374,546,605,577,606,635
" "," "," "," "," ","Value of Sales (Euro Million)",66.3,57.6,54.9,54.3,77.7,102.6,106.8,111.2,134.3
" "," "," "," "," ","Mean Sale Price (Euro)",204033,176592,143213,145317,142333,169542,185140,183553,211503
" "," "," "," "," ","Median Price (Euro)",180000,150000,125000,125000,122500,143000,165000,165000,192000
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",297,277,363,318,541,553,582,609,627
" "," "," "," "," ","Value of Sales (Euro Million)",54.4,39.6,39.8,34.3,59.0,72.5,80.7,97.9,108.7
" "," "," "," "," ","Mean Sale Price (Euro)",183189,143062,109772,107710,109000,131077,138684,160762,173385
" "," "," "," "," ","Median Price (Euro)",172501,129999,92600,89250,91000,115000,135000,150000,165000
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",144,165,174,255,304,405,406,384,396
" "," "," "," "," ","Value of Sales (Euro Million)",24.1,21.0,17.9,21.4,24.6,38.5,37.3,41.9,45.8
" "," "," "," "," ","Mean Sale Price (Euro)",167280,127114,103111,83890,80771,95138,91919,109188,115580
" "," "," "," "," ","Median Price (Euro)",160000,118536,90900,73000,60250,75000,78000,90000,100000
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",731,694,637,778,1229,1600,1508,1668,1680
" "," "," "," "," ","Value of Sales (Euro Million)",151.3,124.7,105.0,112.8,162.1,226.5,241.6,293.7,335.6
" "," "," "," "," ","Mean Sale Price (Euro)",206910,179739,164891,145024,131888,141552,160212,176077,199756
" "," "," "," "," ","Median Price (Euro)",193774,167250,150000,127000,115000,124250,143500,157750,185000
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",132,111,146,180,314,403,391,327,360
" "," "," "," "," ","Value of Sales (Euro Million)",21.5,13.3,13.7,14.0,24.3,31.9,34.6,32.3,38.4
" "," "," "," "," ","Mean Sale Price (Euro)",163178,120252,93645,77820,77236,79105,88464,98858,106749
" "," "," "," "," ","Median Price (Euro)",152500,95791,75826,61895,62250,65000,75000,85125,94500
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",462,437,515,582,925,1085,1065,1091,1198
" "," "," "," "," ","Value of Sales (Euro Million)",92.8,71.8,74.9,75.5,129.2,162.6,180.9,209.8,260.0
" "," "," "," "," ","Mean Sale Price (Euro)",200854,164247,145519,129654,139717,149873,169833,192281,217065
" "," "," "," "," ","Median Price (Euro)",191000,150000,130000,109750,124850,135000,155000,179999,211000
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",416,348,433,469,823,1089,1008,1022,1036
" "," "," "," "," ","Value of Sales (Euro Million)",73.5,55.7,55.9,57.0,91.4,127.4,120.8,137.7,143.9
" "," "," "," "," ","Mean Sale Price (Euro)",176759,160038,129097,121440,111006,116947,119862,134698,138918
" "," "," "," "," ","Median Price (Euro)",170125,150000,115876,109000,91000,98000,103250,124850,125000
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",858,639,704,867,1343,1512,1437,1997,2175
" "," "," "," "," ","Value of Sales (Euro Million)",206.2,138.7,128.8,152.4,263.7,319.1,338.5,514.0,608.4
" "," "," "," "," ","Mean Sale Price (Euro)",240284,217075,183011,175834,196332,211026,235579,257380,279705
" "," "," "," "," ","Median Price (Euro)",225000,200000,160000,150000,170000,189000,220000,249999,270000
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",168,132,132,167,272,295,296,327,269
" "," "," "," "," ","Value of Sales (Euro Million)",30.7,19.5,17.5,17.3,28.3,35.5,39.0,45.0,42.7
" "," "," "," "," ","Mean Sale Price (Euro)",182929,147428,132643,103531,103864,120220,131899,137722,158575
" "," "," "," "," ","Median Price (Euro)",157003,134874,120000,85125,89750,108279,130000,135000,154000
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",210,181,227,290,419,478,500,529,487
" "," "," "," "," ","Value of Sales (Euro Million)",37.9,26.8,29.5,31.2,50.6,54.8,59.7,80.1,78.3
" "," "," "," "," ","Mean Sale Price (Euro)",180293,148287,130089,107612,120689,114566,119316,151507,160764
" "," "," "," "," ","Median Price (Euro)",164575,132500,117000,90000,100000,102000,106000,144000,157000
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",232,205,297,408,447,534,558,565,654
" "," "," "," "," ","Value of Sales (Euro Million)",37.5,26.7,28.5,35.3,37.8,50.6,53.0,62.3,79.8
" "," "," "," "," ","Mean Sale Price (Euro)",161763,130044,96114,86497,84662,94813,95043,110336,121995
" "," "," "," "," ","Median Price (Euro)",158000,120000,85000,72000,69000,75000,77000,90000,105000
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",284,210,302,363,575,591,589,608,688
" "," "," "," "," ","Value of Sales (Euro Million)",53.7,30.8,35.5,42.5,70.9,71.1,73.4,86.8,103.4
" "," "," "," "," ","Mean Sale Price (Euro)",189079,146467,117686,117109,123361,120262,124539,142688,150360
" "," "," "," "," ","Median Price (Euro)",166701,125000,103008,92000,102000,100000,100000,119088,125500
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",492,445,457,579,735,1013,1043,1181,1153
" "," "," "," "," ","Value of Sales (Euro Million)",86.7,75.0,59.8,67.2,94.7,124.9,134.7,163.1,173.1
" "," "," "," "," ","Mean Sale Price (Euro)",176224,168649,130790,116011,128778,123267,129114,138111,150119
" "," "," "," "," ","Median Price (Euro)",170000,150000,113000,100000,102699,107000,115000,127500,140000
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",406,451,506,622,893,1129,1186,1132,1225
" "," "," "," "," ","Value of Sales (Euro Million)",83.3,70.3,66.1,74.3,113.2,146.5,173.3,191.5,218.2
" "," "," "," "," ","Mean Sale Price (Euro)",205246,155867,130720,119499,126722,129734,146096,169154,178103
" "," "," "," "," ","Median Price (Euro)",191500,145000,114500,100000,102000,110000,130000,156500,160000
" "," "," "," ","Westmeath"
" "," "," "," "," ","Volume of Sales  (Number)",346,305,332,452,718,835,779,806,841
" "," "," "," "," ","Value of Sales (Euro Million)",60.4,44.7,38.3,51.2,80.2,99.5,107.5,126.4,151.0
" "," "," "," "," ","Mean Sale Price (Euro)",174606,146634,115387,113252,111696,119114,138011,156885,179525
" "," "," "," "," ","Median Price (Euro)",160000,131275,106500,95000,100000,108000,126500,146333,170000
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",625,585,797,826,1250,1433,1342,1396,1417
" "," "," "," "," ","Value of Sales (Euro Million)",119.1,90.6,106.4,98.6,159.7,195.2,203.5,232.5,262.5
" "," "," "," "," ","Mean Sale Price (Euro)",190621,154905,133508,119406,127722,136238,151660,166541,185218
" "," "," "," "," ","Median Price (Euro)",175000,140000,118000,105000,115000,123000,137500,157500,170000
" "," "," "," ","Wicklow"
" "," "," "," "," ","Volume of Sales  (Number)",648,526,659,845,1134,1190,1274,1447,1365
" "," "," "," "," ","Value of Sales (Euro Million)",202.5,142.0,155.5,207.5,314.8,353.0,405.0,494.2,487.8
" "," "," "," "," ","Mean Sale Price (Euro)",312546,269989,236020,245578,277630,296599,317930,341500,357377
" "," "," "," "," ","Median Price (Euro)",277750,233500,200000,195000,231588,255000,273750,303000,315000
" "," "," ","New"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",6001,3464,3019,3206,4352,4831,5517,7238,8599
" "," "," "," "," ","Value of Sales (Euro Million)",1491.6,782.8,617.5,625.2,927.2,1263.1,1715.7,2475.4,3223.2
" "," "," "," "," ","Mean Sale Price (Euro)",248552,225974,204528,195012,213045,261460,310981,342002,374830
" "," "," "," "," ","Median Price (Euro)",225000,200000,175000,158900,172656,223000,280000,308999,335000
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",69,100,40,59,71,74,39,39,57
" "," "," "," "," ","Value of Sales (Euro Million)",13.6,17.8,5.2,7.4,9.8,12.2,7.4,8.1,13.0
" "," "," "," "," ","Mean Sale Price (Euro)",197221,178163,129641,125309,138608,164700,190051,207984,227700
" "," "," "," "," ","Median Price (Euro)",179000,159000,113500,115770,139605,155000,192000,210000,217999
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",201,105,77,102,133,113,68,62,73
" "," "," "," "," ","Value of Sales (Euro Million)",37.6,17.4,11.9,10.4,11.9,11.1,8.6,8.5,10.9
" "," "," "," "," ","Mean Sale Price (Euro)",187035,166058,154589,101759,89719,98465,126067,136873,149421
" "," "," "," "," ","Median Price (Euro)",173533,155155,141875,81350,76045,82000,127426,132635,153225
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",146,65,78,51,85,93,113,93,92
" "," "," "," "," ","Value of Sales (Euro Million)",30.8,13.6,14.7,7.4,11.4,12.6,16.7,16.3,20.9
" "," "," "," "," ","Mean Sale Price (Euro)",211295,208877,188241,144952,134249,135773,147610,175618,227101
" "," "," "," "," ","Median Price (Euro)",199976,176782,174393,133634,125000,127725,133930,169500,212500
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",619,402,348,343,474,564,593,678,819
" "," "," "," "," ","Value of Sales (Euro Million)",173.6,98.1,73.9,70.2,95.2,122.6,152.3,198.6,283.4
" "," "," "," "," ","Mean Sale Price (Euro)",280476,244153,212370,204774,200943,217341,256750,292914,346000
" "," "," "," "," ","Median Price (Euro)",263888,231279,190231,182500,185003,199999,250000,293903,334399
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",201,138,99,85,133,120,117,127,98
" "," "," "," "," ","Value of Sales (Euro Million)",41.2,27.4,15.3,11.2,13.8,15.7,18.2,21.3,15.8
" "," "," "," "," ","Mean Sale Price (Euro)",204950,198419,154271,131672,103530,131070,155794,168008,161337
" "," "," "," "," ","Median Price (Euro)",191000,172163,141875,127000,95001,124850,149999,156630,149660
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",1453,705,745,888,1229,1429,2059,3018,3832
" "," "," "," "," ","Value of Sales (Euro Million)",434.8,208.0,207.2,253.4,419.2,614.5,923.1,1349.4,1781.1
" "," "," "," "," ","Mean Sale Price (Euro)",299272,295072,278160,285326,341053,429997,448344,447130,464796
" "," "," "," "," ","Median Price (Euro)",262625,255262,225000,232588,283733,357525,390000,377444,392423
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",286,188,129,128,198,198,236,246,202
" "," "," "," "," ","Value of Sales (Euro Million)",68.9,41.3,27.1,22.2,29.9,30.5,45.6,55.9,56.1
" "," "," "," "," ","Mean Sale Price (Euro)",241002,219601,210176,173102,151043,154068,193210,227132,277509
" "," "," "," "," ","Median Price (Euro)",215650,188179,187275,130263,125418,138100,172125,224826,275850
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",177,107,112,95,114,165,132,95,120
" "," "," "," "," ","Value of Sales (Euro Million)",41.6,25.2,21.5,14.5,16.5,25.7,23.0,22.6,29.2
" "," "," "," "," ","Mean Sale Price (Euro)",235011,235980,191863,152874,145000,155586,174603,237953,243694
" "," "," "," "," ","Median Price (Euro)",218119,217000,175000,136200,130526,136200,161919,187275,218658
" "," "," "," ","Kildare"
