"Business Demography NACE Rev 2 by Employment Size, County, statistical",,,,,,,,,,,,
indicator and Year,,,,,,,,,,,,
,,,,,,,,,,,,
 , , ,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 ,Waterford,,,,,,,,,,,
 , ,Active Enterprises (Number),320,268,243,251,242,248,249,269,265,280
 , ,Persons Engaged (Number),4243,3533,3211,3282,3174,3274,3327,3536,3532,3715
 , ,Employees (Number),4135,3444,3134,3202,3103,3210,3261,3471,3475,3652
 ,Westmeath,,,,,,,,,,,
 , ,Active Enterprises (Number),..,..,..,..,..,..,171,180,191,206
 , ,Persons Engaged (Number),..,..,..,..,..,..,2296,2364,2533,2701
 , ,Employees (Number),..,..,..,..,..,..,2248,2319,2498,2667
 ,Wexford,,,,,,,,,,,
 , ,Active Enterprises (Number),398,338,309,287,296,306,320,328,351,366
 , ,Persons Engaged (Number),5257,4481,4066,3799,3887,4047,4135,4314,4648,4829
 , ,Employees (Number),5122,4378,3970,3702,3768,3926,4023,4210,4563,4742
 ,Wicklow,,,,,,,,,,,
 , ,Active Enterprises (Number),336,273,265,248,243,235,278,296,295,324
 , ,Persons Engaged (Number),4466,3605,3509,3280,3193,3099,3673,3922,3916,4256
 , ,Employees (Number),4364,3506,3413,3207,3126,3037,3598,3846,3838,4187
20 - 49,,,,,,,,,,,,
 ,Carlow,,,,,,,,,,,
 , ,Active Enterprises (Number),84,72,72,62,58,59,65,61,73,80
 , ,Persons Engaged (Number),2622,2186,2127,1851,1770,1769,1956,1803,2145,2504
 , ,Employees (Number),2607,2172,2118,1846,1763,1765,1951,1799,2140,2499
 ,Cavan,,,,,,,,,,,
 , ,Active Enterprises (Number),87,75,65,62,65,58,60,72,77,86
 , ,Persons Engaged (Number),2735,2287,2013,1979,2082,1831,1859,2229,2295,2449
 , ,Employees (Number),2715,2266,1994,1961,2063,1817,1847,2218,2284,2446
 ,Clare,,,,,,,,,,,
 , ,Active Enterprises (Number),123,103,101,95,98,100,114,113,123,128
 , ,Persons Engaged (Number),3746,3048,2936,2729,2896,2890,3278,3469,3724,3850
 , ,Employees (Number),3727,3034,2923,2715,2883,2879,3265,3458,3712,3840
 ,Cork,,,,,,,,,,,
 , ,Active Enterprises (Number),696,615,553,544,546,539,550,606,650,696
 , ,Persons Engaged (Number),20053,17909,16015,15988,16173,16418,16389,17838,19001,20594
 , ,Employees (Number),19881,17731,15892,15866,16067,16313,16277,17718,18875,20469
 ,Donegal,,,,,,,,,,,
